1000 2000
1 596 20063465 
1 976 29469214 
1 966 33156903 
1 102 24096531 
1 787 32825917 
1 80 5442830 
2 249 12458187 
2 480 77767634 
2 883 31794032 
2 851 57374768 
2 276 98024633 
3 488 2443072 
3 104 17495583 
3 38 14644938 
4 428 20126841 
4 728 44962256 
4 68 89998590 
4 470 20229854 
5 458 66111585 
5 954 92272492 
5 910 54835956 
5 615 10603349 
5 552 10510226 
5 728 44707066 
5 358 22747211 
6 850 36810913 
6 239 39683404 
6 508 21023926 
6 417 99039024 
6 545 92350560 
7 381 85819251 
7 564 75848336 
7 914 99194838 
7 534 26650657 
7 26 8134776 
7 201 40901202 
8 704 49718451 
8 111 92570189 
8 821 80116332 
8 783 913178 
9 31 32083882 
9 39 94247572 
9 506 61208571 
9 819 32365026 
9 360 91950799 
9 282 2028364 
9 438 86360350 
10 543 65400899 
11 958 85781141 
11 801 40411024 
11 896 26784435 
11 273 65688307 
12 987 52130901 
12 15 1583248 
12 898 31492081 
12 875 67799638 
13 244 73610606 
13 339 4710821 
13 53 23619392 
13 384 73931674 
13 544 48687536 
14 77 21799975 
14 770 65111204 
14 758 87387454 
14 904 92186553 
14 807 75992958 
14 65 70745025 
14 522 96299510 
15 488 44344919 
15 513 19515454 
16 918 4872803 
16 683 99673221 
16 791 27793134 
17 880 42028391 
17 117 2722986 
17 506 40919458 
17 236 92769879 
18 390 74490837 
18 454 33638295 
18 272 99010561 
18 237 55798252 
18 877 2021517 
18 274 3591990 
19 967 39809435 
19 686 33130578 
19 853 63009526 
19 359 34292375 
20 54 432255 
21 967 67668941 
21 41 3237253 
21 406 27245812 
23 774 85481353 
23 279 56158418 
23 690 32910998 
24 61 33058794 
24 644 8995353 
24 614 28760310 
24 262 59267047 
25 110 98503387 
25 410 88549662 
25 767 78687789 
25 333 15468428 
26 920 30847060 
26 369 14760386 
27 813 34360642 
27 495 90845752 
27 614 99009498 
28 406 54487676 
28 776 84931917 
28 634 91776765 
28 725 59384423 
29 884 33507222 
29 119 59638058 
29 74 96641520 
30 491 46733947 
30 566 41244960 
30 431 10590194 
30 110 13362072 
31 984 74641248 
31 971 29529996 
31 997 42754857 
32 983 70236997 
32 685 13778602 
32 978 79685415 
32 527 29789118 
32 714 87611230 
32 63 12001339 
32 849 84003603 
32 722 83480217 
32 103 36817333 
33 275 13943867 
33 409 19791854 
33 245 82294980 
34 218 13197993 
34 666 14477779 
34 481 60319114 
35 877 57694251 
35 758 55800161 
35 590 28875806 
35 245 86200686 
35 157 82192488 
36 38 86418397 
36 570 62522037 
37 252 41913030 
37 245 50461518 
37 850 69982389 
38 782 45022287 
39 978 69999458 
39 720 10277995 
39 261 58762979 
40 54 97996866 
40 466 22888422 
40 401 58394331 
41 62 65813275 
41 333 31301115 
41 769 27050046 
41 328 74038199 
41 667 45678203 
41 59 88550371 
42 987 35228319 
42 47 47056006 
